epoch,step,loss,caption
0,1,0.021898603066802025,a person is dancing quickly and having fun.
0,2,0.014715172350406647,a person is moving around dancing with their arms.
0,3,4.094944953918457,someone seems to be dancing
0,4,0.043692249804735184,a person walks with a limp
0,5,3.3044028282165527,a person running and then crawling before returning to a run.
0,6,0.053613390773534775,a person is jogging / walking fast but not running in circles
0,7,0.029732132330536842,a man stands casually with his arms to his sides than takes 4 slow steps backwards starting with his left and then stops.
0,8,0.03296854346990585,a person readies their jump rope and then begins skipping rope.
0,9,0.02149989642202854,a person bends forward with left/left hands quickly to touch left/left toes directly in front of hands. a person twists torso left/left with waist fast facing left/left. a person lifts left/left hands fast above left/left shoulder at the same time. a person bends torso left/left hand sides fast facing forward
0,10,1.1179083585739136,"imitates a ballet dance. right hand steps behind left, hands cur under than both lifts poisely."
0,11,0.11042115837335587,a person bends over and does a standing jump forward.
0,12,0.009992824867367744,a man is dancing around in a circle.
0,13,0.05735430866479874,a person walking forward in a steady pace
0,14,0.052516862750053406,"a person walks in a slow clockwise circle, stopping in a standing position."
0,15,0.15838727355003357,the man raises his hands and waves then fast in the air.
0,16,0.048587314784526825,"a person walks downstairs, before making a little jump at the bottom."
0,17,0.36912527680397034,a person dancing with left arm in the air and bouncing back and forth
0,18,0.01417883113026619,a person walks forward and then starts dancing.
0,19,0.027117878198623657,a person is salsa dancing.
0,20,0.018421882763504982,a person struggles to hold a heavy object before dropping it.
0,21,3.1100995540618896,a person sets something down on the ground and then walks with big hip sway in a diaganol direction.
0,22,0.07688286155462265,"a man bends his legs slightly then takes a medium-length jump forward, raising his forearms slightly then letting them hang loose on landing."
0,23,0.5778521299362183,a person is sprinting fast
0,24,0.03309294953942299,"a person walks forward at a slow pace and stops, holding position."
0,25,0.5624088048934937,a person taking a huge jump forward
0,26,3.5778615474700928,the man is jumping jump
0,27,0.0061712563037872314,he uplift his right hand and moving it fast again and again.
0,28,0.028275150805711746,obstacle courses sometimes require an athlete to run in a backwards motion.
0,29,0.07278839498758316,walking forward then the body twirls around fast and keeps walking.
0,30,1.3628126382827759,"a man is standing up, then bends down to take a big jump forward, leaps forward, and then stands back up straight."
0,31,0.11744872480630875,a person takes three quick steps backward.
0,32,0.026320884004235268,person facing forward does 5 small slow steps to the left then 5 slow steps to the  right
0,33,0.041587237268686295,a man dancing to salsa music
0,34,0.15186938643455505,a person takes a couple quick steps forward.
0,35,0.053909752517938614,"a man shakes his wrists, jumps backwards with a spin, and then finishes by spreading his arms."
0,36,0.022035187110304832,a person is walking forward and dancing at the same time. they are throwing their limbs out in sudden movements and shaking their legs.
0,37,0.008546476252377033,the person is doing awkward arm movements to the head and then down in front.
0,38,0.042133696377277374,"person is dancing by bending right arm and right leg lifting and bending at the same time a few times, they repeat this on the left, they jump to the side and kick the left leg back, and then jump to the left"
0,39,1.3170485496520996,the person is  slow punching the air.
0,40,0.03818655386567116,"a figure gestures as though it is digging with a shovel. the figure stops dancing around 7 second mark, and seems to place a plant or tree into the hole it has dug."
0,41,0.014067397452890873,a person throws their body forward and then to the side in an expressive way
0,42,0.03711201623082161,person walks fast on the spot
0,43,0.77224200963974,"this person is walking forward at an easy but steady pace, starting with the right foot and completing 8 steps, ending with the right foot forward."
0,44,3.2374961376190186,a person sets something down on the ground and then walks with big hip sway in a diaganol direction.
0,45,0.14843380451202393,the person walks forward at a steady pace while moving most of their left hand side of their body compared to their right
0,46,0.036295972764492035,a person is ballroom dancing with someone.
0,47,0.030213456600904465,a person takes a jump rope and starts jumping rope.
0,48,0.02799157425761223,he is jumping very fast.
0,49,0.03357846289873123,"a person jumps and spins in place, then when they land they run forward, stop, and run backwards"
0,50,0.045813754200935364,"a person waddles around like a penguin, then waves with their left hand, their right hand, and then a quick wave with both hands."
0,51,0.005175018683075905,"starting with their right foot, a person sidesteps fast back and forth."
0,52,0.02984706684947014,the person seems to be 'beat boxing' and drops to the ground swinging his left foot over in a circular direction and using that momentum to to propel himself to spin over his right shoulder first then his left so he ends up seated again.
0,53,0.01884191296994686,"a person jumps repeatedly, throwing their arms above their head and stretching their legs with each jump."
0,54,0.022544989362359047,a a person practices a salsa dance routine by themselves
0,55,0.07545942068099976,the person is doing the chicken dance.
0,56,0.28522297739982605,the person took a small jump forward.
0,57,0.07365614175796509,this person holds his arms up as if to dance with a partner.
0,58,0.813755452632904,"the person steps into a martial arts stance, kicks and thrusts its right leg forward, bring itself back into a martial arts stance."
0,59,0.02543656900525093,the person is doing a russian dance
0,60,0.14711488783359528,the person is running forward very fast.
0,61,0.09097263216972351,a person is dancing and waving their arms
0,62,3.1318182945251465,"a person reaches back with their right arm and throws something forward with a lot of force, then they steady themselves to remain balanced."
0,63,0.019299011677503586,the person is doing a fancy dance.
0,64,0.018618393689393997,a fast pace stepping forward with dribble hands then takes a shot.
0,65,0.03679947555065155,a person scamps around as if doing a victory dance.
0,66,0.056757137179374695,"person squats with both knees bent, bringing hands together at chest, then straightens legs to jump straight upwards but lands slightly to their left considering their beginning position"
0,67,0.021085627377033234,"the person does a little side to side dance, barely lifting its legs and bringing them down quickly, while shimmying its shoulders up and down slightly."
0,68,0.05672908201813698,the man is walking at a quick pace with his hands and feet swinging and appears to be in a hurry.
0,69,0.1062723696231842,person is doing a dance
0,70,0.04546510800719261,the person is jumping rope very fast.
0,71,0.1999337077140808,the person is standing up. they raise their hands up with fingers spread like jazz hands. hands and hips move back and forth like it is dancing.
0,72,0.010791730135679245,a fast limp on the right foot.
0,73,0.05539139732718468,a person takes a quick step forward.
0,74,0.11759922653436661,a person is doing the waltz dance
0,75,0.055710937827825546,this person is jumping up and down as if to jump rope.
0,76,2.637873888015747,a person is dancing while running.
0,77,0.11746241897344589,person takes fast steps forwards
0,78,0.1367020457983017,"a person takes two slow steps forward, pivots on their right foot 180deg, then takes two more slow steps forward."
0,79,0.0032607512548565865,"a person turns towards to the right, picks up a heavy object and turns and set it down in front of him."
0,80,0.022112848237156868,"person does light bouncy jump, skips forward with left leg swinging forward"
0,81,0.04726971685886383,person bends down and keeps legs straight flowing arms left to right before turning around and doing same back
0,82,2.540613889694214,a person lifts something heavy with their right arm.
0,83,2.1198179721832275,a man walks backwards and then makes a large leap forward.
